name,latitude,longitude,boro,category,factype
Engine 4/Ladder 15,40.703694,-74.007717,Manhattan,Fire Services,
Engine 6,40.709971,-74.005395,Manhattan,Fire Services,
Manhattan Borough Command/Battalion 1/Engine 7/Ladder 1,40.715339,-74.0063,Manhattan,Fire Services,
Ladder 8,40.719574,-74.00662,Manhattan,Fire Services,
Engine 9/Ladder 6,40.715408,-73.992834,Manhattan,Fire Services,
Battalion 4/Engine 15/Ladder 18,40.716439,-73.983927,Manhattan,Fire Services,
Engine 28/Ladder 11,40.721879,-73.982526,Manhattan,Fire Services,
Engine 5,40.731494,-73.983407,Manhattan,Fire Services,
Division 1/Ladder 20,40.723026,-73.996571,Manhattan,Fire Services,
Engine 33/Ladder 9,40.726986,-73.992526,Manhattan,Fire Services,
Battalion 6/Ladder 3,40.733093,-73.989443,Manhattan,Fire Services,
Squad 18,40.734518,-74.000381,Manhattan,Fire Services,
Engine 34/Ladder 21,40.756593,-73.996471,Manhattan,Fire Services,
Engine 26,40.753107,-73.990376,Manhattan,Fire Services,
Battalion 7/Engine 3/Ladder 12,40.741196,-73.996868,Manhattan,Fire Services,
Engine 1/Ladder 24,40.748474,-73.991188,Manhattan,Fire Services,
Engine 14,40.737948,-73.991035,Manhattan,Fire Services,
Engine 16/Ladder 7,40.741676,-73.97888,Manhattan,Fire Services,
Engine 21,40.748642,-73.974027,Manhattan,Fire Services,
Battalion 9/Engine 54/Ladder 4,40.76072,-73.986793,Manhattan,Fire Services,
Engine 23,40.766699,-73.980368,Manhattan,Fire Services,
Engine 40/Ladder 35,40.774562,-73.984225,Manhattan,Fire Services,
Division 3/Ladder 25,40.78223,-73.979841,Manhattan,Fire Services,
Engine 74,40.784697,-73.974602,Manhattan,Fire Services,
Battalion 8/Engine 8/Ladder 2,40.756891,-73.970805,Manhattan,Fire Services,
Engine 44,40.771454,-73.958154,Manhattan,Fire Services,
Battalion 10/Engine 22/Ladder 13,40.778622,-73.955311,Manhattan,Fire Services,
Engine 58/Ladder 26,40.798913,-73.947333,Manhattan,Fire Services,
